,google,segment
2015-11-18,1.4374311732747096,8
2015-11-19,1.5219859481732219,8
2015-11-20,1.4374311732747096,8
2015-11-21,1.310599010926941,8
2015-11-22,1.352876398376197,8
2015-11-23,1.4797085607239655,8
2015-11-24,1.3951537858254532,8
2015-11-25,1.2683216234776848,8
2015-11-26,1.4374311732747096,8
2015-11-27,1.2683216234776848,8
2015-11-28,1.310599010926941,8
2015-11-29,1.2260442360284287,8
2015-11-30,1.4374311732747096,8
2015-12-01,1.3951537858254532,8
2015-12-02,1.352876398376197,8
2015-12-03,1.310599010926941,8
2015-12-04,1.2260442360284287,8
2015-12-05,1.2683216234776848,8
2015-12-06,1.352876398376197,8
2015-12-07,1.4374311732747096,8
2015-12-08,1.7333728854195027,8
2015-12-09,3.7204100955345423,8
2015-12-10,2.4520884720568574,8
2015-12-11,1.9870372101150395,8
2015-12-12,1.7333728854195027,8
2015-12-13,1.5642633356224778,8
2015-12-14,1.5642633356224778,8
2015-12-15,1.7333728854195027,8
2015-12-16,1.6910954979702464,8
2015-12-17,1.4797085607239655,8
2015-12-18,1.5219859481732219,8
2015-12-19,1.3951537858254532,8
2015-12-20,1.310599010926941,8
2015-12-21,1.3951537858254532,8
2015-12-22,1.352876398376197,8
2015-12-23,1.4374311732747096,8
2015-12-24,1.4797085607239655,8
2015-12-25,1.3951537858254532,8
2015-12-26,1.352876398376197,8
2015-12-27,1.3951537858254532,8
2015-12-28,1.5219859481732219,8
2015-12-29,1.352876398376197,8
2015-12-30,1.352876398376197,8
2015-12-31,1.310599010926941,8
2016-01-01,1.310599010926941,8
2016-01-02,1.2683216234776848,8
2016-01-03,1.310599010926941,8
2016-01-04,1.352876398376197,8
2016-01-05,1.3951537858254532,8
2016-01-06,1.352876398376197,8
2016-01-07,1.6065407230717341,8
2016-01-08,1.5642633356224778,8
2016-01-09,1.352876398376197,8
2016-01-10,1.352876398376197,8
2016-01-11,1.352876398376197,8
2016-01-12,1.352876398376197,8
2016-01-13,1.5219859481732219,8
2016-01-14,1.352876398376197,8
2016-01-15,1.9870372101150395,8
2016-01-16,2.0715919850135522,8
2016-01-17,1.7333728854195027,8
2016-01-18,1.6488181105209905,8
2016-01-19,1.5642633356224778,8
2016-01-20,1.6910954979702464,8
2016-01-21,1.5642633356224778,8
2016-01-22,1.5219859481732219,8
2016-01-23,1.352876398376197,8
2016-01-24,1.310599010926941,8
2016-01-25,1.352876398376197,8
2016-01-26,1.3951537858254532,8
2016-01-27,1.352876398376197,8
2016-01-28,1.4374311732747096,8
2016-01-29,1.310599010926941,8
