date	nTweets	googleSearch	wikiViews	totalTweets	nUsersFiltered	nUsersFilteredNet	nDownloads	nFBShares
2010-05-02	164	0	60	33985476	30383	3319	22	0
2010-05-03	154	0	42	34794654	30515	3364	16	0
2010-05-04	143	0	51	35289438	30636	3404	11	0
2010-05-05	144	0	34	35387364	30756	3440	10	0
2010-05-06	160	0	37	35717220	30886	3477	4	0
2010-05-07	133	0	31	34686420	31003	3509	7	0
2010-05-08	179	0	34	35361594	31149	3540	14	0
2010-05-09	148	0	37	35454366	31301	3572	2	0
2010-05-10	140	0	44	36629478	31417	3601	17	0
2010-05-11	147	0	37	36943872	31517	3626	1	0
2010-05-12	160	0	37	37917978	31626	3654	17	0
2010-05-13	233	0	41	39809496	31735	3682	30	0
2010-05-14	160	0	41	35279130	31857	3718	24	0
2010-05-15	226	0	35	35072970	31937	3742	6	0
2010-05-16	195	0	44	37150032	32032	3762	6	0
2010-05-17	234	0	40	38222064	32168	3795	24	0
2010-05-18	183	0	33	38897238	32343	3846	8	0
2010-05-19	175	0	41	39010626	32521	3905	16	0
2010-05-20	202	0	39	39917730	32706	3956	19	0
2010-05-21	263	0	47	36990258	32871	4015	12	0
2010-05-22	201	0	44	36943872	33052	4081	17	0
2010-05-23	184	0	51	36562476	33317	4188	20	0
2010-05-24	170	0	42	38819928	33512	4255	32	0
2010-05-25	175	0	112	40288818	33713	4333	86	0
2010-05-26	214	0	95	39763110	33931	4414	40	0
2010-05-27	262	0	61	39448716	34123	4489	16	0
2010-05-28	272	0	39	35846070	34358	4567	8	0
2010-05-29	360	0	53	35789376	34553	4630	15	0
2010-05-30	256	0	43	39134322	34721	4699	18	0
2010-05-31	189	0	41	39036396	34886	4766	25	0
2010-06-01	190	0	38	35712066	35039	4826	8	0
2010-06-02	243	0	35	39747648	35200	4891	6	0
2010-06-03	196	0	42	38768388	35382	4960	18	0
2010-06-04	218	0	35	38747772	35529	5027	20	0
2010-06-05	249	0	79	36392394	35682	5074	30	0
2010-06-06	504	0	38	39984732	35842	5142	28	0
2010-06-07	179	0	59	40232124	36008	5217	41	0
2010-06-08	198	0	52	40927914	36198	5297	25	0
2010-06-09	155	0	60	40603212	36383	5380	20	0
2010-06-10	186	0	56	41525778	36565	5449	25	0
2010-06-11	171	0	26	36856254	36785	5563	20	0
2010-06-12	323	0	13	37464426	36964	5645	16	0
2010-06-13	255	0	2	37577814	37172	5731	6	0
