Date,New Topics,New Posts,New Members
23.07.15,359,9011,317
22.07.15,457,8876,472
21.07.15,426,9124,295
20.07.15,398,9072,576
19.07.15,375,6966,176
18.07.15,303,7041,171
17.07.15,374,7485,245
16.07.15,412,8329,280
15.07.15,409,8381,272
14.07.15,393,8494,278
13.07.15,497,9523,281
12.07.15,383,8637,416
11.07.15,373,8295,302
10.07.15,480,10361,420
09.07.15,427,9350,503
08.07.15,407,9288,315
07.07.15,424,9035,350
06.07.15,332,8673,229
05.07.15,301,7956,262
04.07.15,320,7608,856
03.07.15,390,7880,648
02.07.15,384,8864,420
01.07.15,386,8844,1305
30.06.15,451,9635,326
29.06.15,420,9592,316
28.06.15,377,8124,369
27.06.15,352,8141,269
26.06.15,370,8392,281
25.06.15,369,8776,258
24.06.15,351,9165,264
23.06.15,386,9142,363
22.06.15,365,9010,340
21.06.15,326,7820,260
20.06.15,297,7809,221
19.06.15,368,7855,245
18.06.15,365,8887,235
17.06.15,440,9266,385
16.06.15,438,9506,320
15.06.15,371,8651,292
14.06.15,321,7587,307
13.06.15,312,7324,280
12.06.15,356,8317,249
11.06.15,416,8721,269
10.06.15,342,8845,332
09.06.15,460,8677,319
08.06.15,341,8253,273
07.06.15,369,7844,234
06.06.15,497,7590,246
05.06.15,426,8736,304
04.06.15,488,8865,373
03.06.15,479,9254,640
02.06.15,451,9220,414
01.06.15,465,8624,326
31.05.15,367,8086,364
30.05.15,412,7797,223
29.05.15,491,8357,452
28.05.15,444,8837,299
27.05.15,455,9097,451
26.05.15,199,4235,204
25.05.15,336,5205,154
24.05.15,1,1,0
22.05.15,5,137,4
21.05.15,405,9796,293
20.05.15,448,10340,276
19.05.15,454,10059,306
18.05.15,453,10053,344
17.05.15,375,8321,293
16.05.15,332,8249,275
15.05.15,423,9491,278
14.05.15,351,9169,247
13.05.15,414,9579,268
12.05.15,366,9451,317
11.05.15,376,8847,260
10.05.15,454,7999,413
09.05.15,363,8179,205
08.05.15,364,9392,180
07.05.15,358,9792,210
06.05.15,401,9531,234
05.05.15,393,10470,235
04.05.15,458,10142,226
03.05.15,359,8951,196
02.05.15,366,9126,179
01.05.15,375,9638,239
30.04.15,463,9876,295
29.04.15,396,10428,235
28.04.15,534,11088,263
27.04.15,365,10492,241
26.04.15,352,9944,189
25.04.15,336,9232,201
24.04.15,390,9140,202
23.04.15,402,9610,249
22.04.15,400,10414,237
21.04.15,427,9920,243
20.04.15,374,9822,232
19.04.15,327,8924,214
18.04.15,350,8668,222
17.04.15,397,10417,207
16.04.15,360,10094,358
15.04.15,439,10470,344
14.04.15,377,10402,397
13.04.15,437,10476,277
12.04.15,365,10051,252
11.04.15,390,10180,392
10.04.15,456,11470,470
09.04.15,431,11382,287
08.04.15,465,11019,311
07.04.15,522,10673,522
06.04.15,408,10513,467
05.04.15,361,9350,303
04.04.15,346,8912,299
03.04.15,391,10014,436
02.04.15,311,7876,226
01.04.15,449,11305,343
31.03.15,437,11036,1466
30.03.15,404,10117,1324
29.03.15,398,9474,1235
28.03.15,352,8640,1240
27.03.15,356,9722,1124
26.03.15,406,9744,1166
25.03.15,467,11235,1146
24.03.15,436,10763,1091
23.03.15,393,10930,1542
22.03.15,356,9295,1940
21.03.15,334,8756,1124
20.03.15,375,9137,1237
19.03.15,453,10011,1356
18.03.15,475,11066,1176
17.03.15,459,10546,1269
16.03.15,472,10596,1260
15.03.15,380,9777,1278
14.03.15,401,9412,1131
13.03.15,412,10426,1228
12.03.15,477,12053,1227
11.03.15,489,12399,1223
10.03.15,532,12923,1097
09.03.15,473,12124,1126
08.03.15,408,10374,1016
07.03.15,445,10608,999
06.03.15,393,10776,1175
05.03.15,511,12374,1457
04.03.15,484,13324,1196
03.03.15,424,12338,1128
02.03.15,455,11085,1119
01.03.15,359,9688,1202
28.02.15,328,10115,1036
27.02.15,380,11228,1135
26.02.15,484,10940,1272
25.02.15,493,11391,1498
24.02.15,467,11505,1653
23.02.15,404,10421,1382
22.02.15,376,10543,1223
21.02.15,360,10712,1031
20.02.15,414,11277,1069
19.02.15,401,11462,1164
18.02.15,433,10814,1221
17.02.15,459,11016,1237
16.02.15,460,10656,1353
15.02.15,420,10754,1476
14.02.15,399,9169,1437
13.02.15,470,11084,1172
12.02.15,459,10593,1120
11.02.15,428,10889,1022
10.02.15,422,10887,1097
09.02.15,396,10493,1138
08.02.15,401,9188,1066
